EntryID	OrganismName	Kingdom	SequenceLength	SPStart	SPEnd	Class	Set	HelixDomain
Q8NFG4	Homo sapiens	Metazoa	579			Negative	2	False
Q9CAF6	Arabidopsis thaliana	Viridiplantae	950			Negative	5	False
Q54XQ2	Dictyostelium discoideum	Other	1125			Negative	4	False
Q9U1S7	Caenorhabditis elegans	Metazoa	716			Negative	2	True
P38769	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	630			Negative	2	False
Q8K3Y3	Mus musculus	Metazoa	209			Negative	2	False
P56282	Homo sapiens	Metazoa	527			Negative	3	False
P43686	Homo sapiens	Metazoa	418			Negative	4	False
Q6BDR8	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	300			Negative	1	False
Q12440	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	853			Negative	3	False
Q9JI59	Mus musculus	Metazoa	298	1.0	28.0	Positive	3	
Q9USQ7	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	606			Negative	3	False
Q6C6R8	Yarrowia lipolytica (strain CLIB 122 / E 150)	Fungi	417			Negative	4	False
Q2KID9	Bos taurus	Metazoa	430			Negative	1	False
B7SXM5	Danio rerio	Metazoa	180			Negative	3	False
Q9R0X4	Mus musculus	Metazoa	439			Negative	5	False
Q8K330	Mus musculus	Metazoa	649			Negative	1	False
P33201	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	236			Negative	1	False
Q9SIY3	Arabidopsis thaliana	Viridiplantae	210			Negative	4	False
Q9H6K1	Homo sapiens	Metazoa	298			Negative	3	False
Q10272	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	446			Negative	1	False
Q9DAD6	Mus musculus	Metazoa	137			Negative	2	False
Q01528	Limulus polyphemus	Metazoa	172	1.0	19.0	Positive	4	
P20240	Drosophila melanogaster	Metazoa	424			Negative	2	False
Q18412	Caenorhabditis elegans	Metazoa	309			Negative	3	False
P03872	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	296			Negative	3	False
Q07307	Emericella nidulans (strain FGSC A4 / ATCC 38163 / CBS 112.46 / NRRL 194 / M139)	Fungi	574			Negative	2	True
P10900	Hordeum vulgare	Viridiplantae	508			Negative	3	True
Q9GZS1	Homo sapiens	Metazoa	419			Negative	1	False
Q9US52	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	118			Negative	3	False
Q2V2P9	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	66			Negative	4	True
O13999	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	187			Negative	4	True
Q94F00	Arabidopsis thaliana	Viridiplantae	371			Negative	4	False
Q5IRJ6	Mus musculus	Metazoa	567			Negative	1	False
Q8K4V4	Rattus norvegicus	Metazoa	539			Negative	2	False
Q3KRB8	Homo sapiens	Metazoa	267			Negative	1	False
Q9LE82	Arabidopsis thaliana	Viridiplantae	535			Negative	1	False
P42731	Arabidopsis thaliana	Viridiplantae	629			Negative	3	False
P23804	Mus musculus	Metazoa	489			Negative	4	False
Q22812	Caenorhabditis elegans	Metazoa	399			Negative	3	False
Q06665	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	692			Negative	2	False
Q6P2C8	Homo sapiens	Metazoa	311			Negative	4	False
Q9DBN1	Mus musculus	Metazoa	621			Negative	5	True
P22985	Rattus norvegicus	Metazoa	1331			Negative	5	False
Q9FFC7	Arabidopsis thaliana	Viridiplantae	978			Negative	5	False
Q9S720	Arabidopsis thaliana	Viridiplantae	247			Negative	3	False
Q9VH07	Drosophila melanogaster	Metazoa	456			Negative	3	False
Q0DUR2	Oryza sativa subsp. japonica	Viridiplantae	92			Negative	5	False
Q810F1	Cavia porcellus	Metazoa	705			Negative	2	True
Q84TH4	Arabidopsis thaliana	Viridiplantae	382			Negative	1	False
B6RAL1	Penicillium expansum	Fungi	1394			Negative	4	False
Q9H4X1	Homo sapiens	Metazoa	137			Negative	3	False
Q9ESK9	Mus musculus	Metazoa	1588			Negative	3	False
O74434	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	626			Negative	1	False
P34802	Arabidopsis thaliana	Viridiplantae	371			Negative	2	False
Q8BIA4	Mus musculus	Metazoa	598			Negative	1	False
P12872	Homo sapiens	Metazoa	115	1.0	25.0	Positive	3	
Q96DX5	Homo sapiens	Metazoa	294			Negative	1	False
Q9LG26	Arabidopsis thaliana	Viridiplantae	689			Negative	5	False
P53909	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	347			Negative	4	False
P82194	Spinacia oleracea	Viridiplantae	126			Negative	4	False
Q9SUQ8	Arabidopsis thaliana	Viridiplantae	187	1.0	29.0	Positive	3	
O42636	Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987)	Fungi	278			Negative	2	False
O43193	Homo sapiens	Metazoa	412			Negative	4	False
Q9UIG8	Homo sapiens	Metazoa	710			Negative	5	False
Q96I36	Homo sapiens	Metazoa	57			Negative	3	True
Q6DKI7	Homo sapiens	Metazoa	326			Negative	3	True
Q9BYN7	Homo sapiens	Metazoa	854			Negative	2	False
O35826	Rattus norvegicus	Metazoa	722			Negative	1	False
Q9H9D4	Homo sapiens	Metazoa	720			Negative	2	False
P60323	Homo sapiens	Metazoa	173			Negative	1	False
Q8IY22	Homo sapiens	Metazoa	773			Negative	2	False
Q62711	Rattus norvegicus	Metazoa	772			Negative	4	False
Q5JS13	Homo sapiens	Metazoa	557			Negative	5	False
Q9SGA2	Arabidopsis thaliana	Viridiplantae	361			Negative	5	False
Q09349	Caenorhabditis elegans	Metazoa	984			Negative	3	False
Q58DQ5	Bos taurus	Metazoa	396			Negative	5	False
P58912	Phyllodiscus semoni	Metazoa	488	1.0	21.0	Positive	4	
P08708	Homo sapiens	Metazoa	135			Negative	4	False
O60952	Dictyostelium discoideum	Other	199			Negative	1	False
Q80VQ0	Mus musculus	Metazoa	468			Negative	1	False
P82403	Spinacia oleracea	Viridiplantae	211			Negative	5	False
P03874	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	630			Negative	5	False
P41541	Bos taurus	Metazoa	961			Negative	3	False
P17505	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	334			Negative	5	False
P53616	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	420	1.0	24.0	Positive	5	
Q8TAC2	Homo sapiens	Metazoa	188			Negative	2	False
Q9N5R9	Caenorhabditis elegans	Metazoa	1030			Negative	3	False
Q94CE4	Arabidopsis thaliana	Viridiplantae	280			Negative	5	False
Q5PT50	Rattus norvegicus	Metazoa	340			Negative	1	True
P25856	Arabidopsis thaliana	Viridiplantae	396			Negative	2	False
Q12830	Homo sapiens	Metazoa	3046			Negative	2	False
Q9H0E3	Homo sapiens	Metazoa	1048			Negative	1	False
Q03036	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	179			Negative	5	False
Q80WE1	Rattus norvegicus	Metazoa	593			Negative	3	False
Q9FZ96	Arabidopsis thaliana	Viridiplantae	356			Negative	3	True
P18892	Bos taurus	Metazoa	526	1.0	26.0	Positive	5	
Q558Z2	Dictyostelium discoideum	Other	905			Negative	2	False
P40075	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	244			Negative	1	False
Q6ASY2	Oryza sativa subsp. japonica	Viridiplantae	178	1.0	26.0	Positive	4	
O13709	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	244			Negative	4	False
P84777	Tityus discrepans	Metazoa	61	1.0	23.0	Positive	3	
P57680	Mus musculus	Metazoa	1005			Negative	4	True
P22894	Homo sapiens	Metazoa	467	1.0	20.0	Positive	4	
Q9MYV1	Canis lupus familiaris	Metazoa	128	1.0	25.0	Positive	4	
P0C8G7	Pomacea canaliculata	Metazoa	286	1.0	30.0	Positive	5	
Q9BWT1	Homo sapiens	Metazoa	371			Negative	1	False
P40037	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	129			Negative	5	False
Q12340	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	786			Negative	1	False
P19736	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	530			Negative	1	False
Q21691	Caenorhabditis elegans	Metazoa	1057			Negative	1	False
Q9QVP9	Mus musculus	Metazoa	1009			Negative	4	False
P53332	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	305			Negative	5	False
O00092	Aspergillus fumigatus (strain ATCC MYA-4609 / CBS 101355 / FGSC A1100 / Af293)	Fungi	465	1.0	26.0	Positive	4	
P47988	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	759			Negative	4	False
P40061	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	1430			Negative	3	False
O74968	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	249			Negative	4	False
Q8T4J9	Manduca sexta	Metazoa	180	1.0	15.0	Positive	4	
Q6RI63	Mus musculus	Metazoa	786			Negative	4	False
Q9FI46	Arabidopsis thaliana	Viridiplantae	269			Negative	2	True
Q969F9	Homo sapiens	Metazoa	1004			Negative	2	False
Q9H0A8	Homo sapiens	Metazoa	199			Negative	5	False
Q9Y5Z4	Homo sapiens	Metazoa	205			Negative	3	False
Q03201	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	203			Negative	4	False
Q38AH0	Trypanosoma brucei brucei (strain 927/4 GUTat10.1)	Other	370			Negative	3	False
Q9UII2	Homo sapiens	Metazoa	106			Negative	1	False
P40491	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	155			Negative	1	False
Q9VDV3	Drosophila melanogaster	Metazoa	546			Negative	3	False
P86044	Mus musculus	Metazoa	747			Negative	2	False
Q02825	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	467			Negative	2	False
Q7KTX8	Drosophila melanogaster	Metazoa	2618			Negative	4	False
Q9UL03	Homo sapiens	Metazoa	887			Negative	2	False
Q9URV9	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	124			Negative	1	False
Q45VK7	Mus musculus	Metazoa	4306			Negative	1	False
Q99NF2	Mus musculus	Metazoa	532			Negative	5	False
Q9V3Z1	Drosophila melanogaster	Metazoa	484			Negative	3	False
Q6I9Y2	Homo sapiens	Metazoa	204			Negative	3	False
P40041	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	505			Negative	4	False
Q8BGC4	Mus musculus	Metazoa	377			Negative	4	False
Q96HW7	Homo sapiens	Metazoa	963			Negative	5	False
P40971	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	790			Negative	3	False
Q8VWF1	Arabidopsis thaliana	Viridiplantae	368			Negative	1	False
Q9HAZ2	Homo sapiens	Metazoa	1276			Negative	4	False
Q9JKU3	Rattus norvegicus	Metazoa	1749			Negative	1	False
Q04213	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	475			Negative	3	False
Q8NFT6	Homo sapiens	Metazoa	615			Negative	3	False
Q8RWV3	Arabidopsis thaliana	Viridiplantae	416			Negative	2	False
P18074	Homo sapiens	Metazoa	760			Negative	5	False
Q8LBM2	Arabidopsis thaliana	Viridiplantae	131			Negative	3	False
Q7JWP6	Drosophila melanogaster	Metazoa	221			Negative	5	False
P13231	Dictyostelium discoideum	Other	118			Negative	2	False
P21657	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	970			Negative	2	False
Q13231	Homo sapiens	Metazoa	466	1.0	21.0	Positive	1	
Q12297	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	353			Negative	4	False
Q96FQ6	Homo sapiens	Metazoa	103			Negative	5	False
Q7RXU7	Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987)	Fungi	396			Negative	3	False
Q8BQR4	Mus musculus	Metazoa	486			Negative	5	False
Q96HE7	Homo sapiens	Metazoa	468	1.0	23.0	Positive	4	
Q9Y3V2	Homo sapiens	Metazoa	267			Negative	4	False
Q6PJT7	Homo sapiens	Metazoa	736			Negative	3	False
Q9Y3B8	Homo sapiens	Metazoa	237			Negative	4	False
Q8RWX4	Arabidopsis thaliana	Viridiplantae	611			Negative	1	False
Q95ZL9	Caenorhabditis elegans	Metazoa	152			Negative	1	False
Q99MQ3	Mus musculus	Metazoa	580			Negative	3	False
P48558	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	297			Negative	4	True
Q66PJ3	Homo sapiens	Metazoa	237			Negative	5	False
P53136	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	463			Negative	5	False
F1AWB0	Vaejovis mexicanus	Metazoa	82	1.0	22.0	Positive	2	
P00719	Struthio camelus	Metazoa	204	1.0	19.0	Positive	1	
P07665	Drosophila melanogaster	Metazoa	356			Negative	2	False
P53188	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	120			Negative	4	False
B7WN96	Caenorhabditis elegans	Metazoa	317			Negative	1	False
O35465	Mus musculus	Metazoa	402			Negative	4	False
P18239	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	318			Negative	2	False
P41910	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	395			Negative	2	False
P53810	Mus musculus	Metazoa	271			Negative	2	False
P25348	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	183			Negative	1	False
Q8H186	Arabidopsis thaliana	Viridiplantae	389			Negative	4	False
Q9UQ13	Homo sapiens	Metazoa	582			Negative	4	False
Q6GPH4	Homo sapiens	Metazoa	301			Negative	5	False
Q10148	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	254			Negative	5	False
Q810H6	Rattus norvegicus	Metazoa	846			Negative	3	False
Q9D1M4	Mus musculus	Metazoa	174			Negative	3	False
Q9H7D0	Homo sapiens	Metazoa	1870			Negative	5	False
O74964	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	803			Negative	4	False
P06454	Homo sapiens	Metazoa	111			Negative	3	False
Q94BT9	Arabidopsis thaliana	Viridiplantae	76			Negative	4	False
Q9GYU8	Drosophila melanogaster	Metazoa	702			Negative	5	False
P11020	Scyliorhinus canicula	Metazoa	80			Negative	3	False
P53958	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	396			Negative	3	False
Q8NDD1	Homo sapiens	Metazoa	293			Negative	2	False
Q4KLP8	Xenopus laevis	Metazoa	663			Negative	2	False
Q4KMM3	Mus musculus	Metazoa	866			Negative	5	False
P24807	Mus musculus	Metazoa	76	1.0	26.0	Positive	2	
Q07532	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	353			Negative	2	False
O48533	Arabidopsis thaliana	Viridiplantae	259			Negative	4	False
O21619	Ovis aries	Metazoa	261			Negative	5	False
Q8GZ79	Arabidopsis thaliana	Viridiplantae	274			Negative	4	False
Q8IZY5	Homo sapiens	Metazoa	108			Negative	1	False
Q9DBG9	Mus musculus	Metazoa	124			Negative	5	False
P34226	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	696			Negative	5	False
G5EFY4	Caenorhabditis elegans	Metazoa	286			Negative	2	False
Q04623	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	453			Negative	2	False
I6S390	Scolopendra mutilans	Metazoa	76	1.0	22.0	Positive	4	
P33075	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	220			Negative	5	False
Q07896	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	663			Negative	2	False
P15570	Phytophthora cryptogea	Other	118	1.0	20.0	Positive	5	
O95180	Homo sapiens	Metazoa	2353			Negative	2	False
Q9ZT64	Pinus contorta	Viridiplantae	513	1.0	23.0	Positive	4	
Q12084	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	232			Negative	3	False
Q9U213	Caenorhabditis elegans	Metazoa	425			Negative	4	False
Q9NQ34	Homo sapiens	Metazoa	198	1.0	33.0	Positive	2	
Q8WW12	Homo sapiens	Metazoa	178			Negative	4	False
Q9Y7J2	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	160			Negative	1	False
Q801E2	Xenopus laevis	Metazoa	1116			Negative	3	False
Q7YR75	Bos taurus	Metazoa	198			Negative	5	False
Q9FNJ9	Arabidopsis thaliana	Viridiplantae	482			Negative	3	False
P54803	Homo sapiens	Metazoa	685	1.0	42.0	Positive	1	
Q6ZQL4	Mus musculus	Metazoa	677			Negative	3	False
Q12150	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	2958			Negative	5	False
Q12020	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	392			Negative	1	False
A0A0N7KIY3	Oryza sativa subsp. japonica	Viridiplantae	352			Negative	2	False
Q969F0	Homo sapiens	Metazoa	183			Negative	2	False
P18684	Protophormia terraenovae	Metazoa	101	1.0	18.0	Positive	3	
Q9UBF9	Homo sapiens	Metazoa	498			Negative	3	False
D3ZXW3	Rattus norvegicus	Metazoa	298			Negative	5	False
Q96DN6	Homo sapiens	Metazoa	1003			Negative	4	False
Q8TDB6	Homo sapiens	Metazoa	740			Negative	2	False
Q15326	Homo sapiens	Metazoa	602			Negative	1	False
Q969Z4	Homo sapiens	Metazoa	430	1.0	25.0	Positive	2	
Q66K74	Homo sapiens	Metazoa	1059			Negative	5	False
Q92759	Homo sapiens	Metazoa	462			Negative	2	False
F4I2H7	Arabidopsis thaliana	Viridiplantae	790			Negative	1	False
Q9UQY9	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	429			Negative	5	False
P0DUS8	Doratifera vulnerans	Metazoa	59	1.0	17.0	Positive	2	
Q84W56	Arabidopsis thaliana	Viridiplantae	911			Negative	1	False
P61023	Rattus norvegicus	Metazoa	195			Negative	2	False
P21784	Mus musculus	Metazoa	527			Negative	3	False
Q9DBR0	Mus musculus	Metazoa	687			Negative	1	False
P53171	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	287			Negative	1	False
Q63638	Rattus norvegicus	Metazoa	3259			Negative	4	False
O74854	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	872			Negative	3	False
Q7KHG2	Drosophila melanogaster	Metazoa	1486			Negative	2	False
Q9VM92	Drosophila melanogaster	Metazoa	756			Negative	1	False
Q9NVH2	Homo sapiens	Metazoa	962			Negative	3	False
P14712	Arabidopsis thaliana	Viridiplantae	1122			Negative	4	False
O74975	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	362			Negative	3	False
P87112	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	2100			Negative	5	False
Q93ZB2	Arabidopsis thaliana	Viridiplantae	509			Negative	3	True
Q9CR14	Mus musculus	Metazoa	375			Negative	2	False
Q12309	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	687			Negative	3	False
Q5SNT2	Homo sapiens	Metazoa	666			Negative	3	False
Q11120	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	515			Negative	2	False
Q9XUB3	Caenorhabditis elegans	Metazoa	781			Negative	4	False
Q8WXW3	Homo sapiens	Metazoa	757			Negative	3	False
P08593	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	268			Negative	1	False
P34164	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	415			Negative	5	False
Q8WQX5	Trypanosoma brucei brucei	Other	976			Negative	4	False
O04121	Spinacia oleracea	Viridiplantae	439			Negative	4	False
Q8VHL0	Mus musculus	Metazoa	384			Negative	1	True
Q7ZZN8	Naja atra	Metazoa	238	1.0	19.0	Positive	5	
A0PJW6	Homo sapiens	Metazoa	202			Negative	3	True
Q9BZJ4	Homo sapiens	Metazoa	359			Negative	2	False
Q5AJU7	Candida albicans (strain SC5314 / ATCC MYA-2876)	Fungi	499			Negative	5	False
Q06409	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	1932			Negative	5	False
Q09849	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	424			Negative	2	False
P47041	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	543			Negative	4	False
O76192	Galleria mellonella	Metazoa	167	1.0	17.0	Positive	4	
P47069	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	682			Negative	2	False
Q6UEG8	Aspergillus parasiticus (strain ATCC 56775 / NRRL 5862 / SRRC 143 / SU-1)	Fungi	444			Negative	2	False
Q10214	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	131			Negative	1	False
P38632	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	267			Negative	5	False
Q00055	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	391			Negative	4	False
Q12285	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	212			Negative	2	False
P08514	Homo sapiens	Metazoa	1039	1.0	31.0	Positive	4	
Q9Y252	Homo sapiens	Metazoa	685			Negative	2	False
Q9NXZ1	Homo sapiens	Metazoa	904			Negative	4	False
Q84Y18	Arabidopsis thaliana	Viridiplantae	332			Negative	5	False
P47102	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	1408			Negative	5	False
O94868	Homo sapiens	Metazoa	740			Negative	1	False
Q9LVG4	Arabidopsis thaliana	Viridiplantae	495			Negative	1	False
P86397	Homo sapiens	Metazoa	168			Negative	1	False
Q9H079	Homo sapiens	Metazoa	304			Negative	1	False
P69850	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	94			Negative	3	False
Q8VY16	Arabidopsis thaliana	Viridiplantae	819			Negative	2	False
P56394	Mus musculus	Metazoa	63			Negative	3	False
Q5T4T6	Homo sapiens	Metazoa	812			Negative	5	False
Q9D495	Mus musculus	Metazoa	329			Negative	3	False
P38429	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	201			Negative	2	False
O20029	Chlamydomonas reinhardtii	Viridiplantae	191			Negative	3	False
O81242	Arabidopsis thaliana	Viridiplantae	355			Negative	4	False
O13795	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	402			Negative	2	False
E9PYL2	Mus musculus	Metazoa	2035			Negative	2	False
P58467	Mus musculus	Metazoa	439			Negative	4	False
P47130	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	423			Negative	5	False
Q9Y4P1	Homo sapiens	Metazoa	393			Negative	2	False
Q9STY4	Arabidopsis thaliana	Viridiplantae	599			Negative	5	False
P56280	Mus musculus	Metazoa	116			Negative	1	False
Q9XI46	Arabidopsis thaliana	Viridiplantae	159			Negative	1	True
Q9UM54	Homo sapiens	Metazoa	1294			Negative	1	False
O60150	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	361			Negative	4	False
Q9BZZ5	Homo sapiens	Metazoa	524			Negative	4	False
Q9Z0K8	Mus musculus	Metazoa	512	1.0	23.0	Positive	4	
Q96247	Arabidopsis thaliana	Viridiplantae	485			Negative	1	True
O55022	Mus musculus	Metazoa	195			Negative	1	True
P39522	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	585			Negative	5	False
Q07930	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	204			Negative	4	False
P33076	Homo sapiens	Metazoa	1130			Negative	4	False
P50548	Homo sapiens	Metazoa	548			Negative	4	False
Q9MZ03	Oryctolagus cuniculus	Metazoa	298			Negative	3	False
P37299	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	77			Negative	3	True
Q12497	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	93			Negative	2	False
Q9P0W2	Homo sapiens	Metazoa	317			Negative	4	False
Q9P2H5	Homo sapiens	Metazoa	1018			Negative	5	False
Q8WVT3	Homo sapiens	Metazoa	735			Negative	5	False
Q9FFJ8	Arabidopsis thaliana	Viridiplantae	449			Negative	3	False
Q9TW65	Caenorhabditis elegans	Metazoa	3674			Negative	2	False
P25655	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	2108			Negative	5	False
P13598	Homo sapiens	Metazoa	275	1.0	24.0	Positive	3	
Q8BQP9	Mus musculus	Metazoa	257			Negative	3	False
Q8R104	Mus musculus	Metazoa	334			Negative	4	False
Q96EA4	Homo sapiens	Metazoa	605			Negative	2	False
Q01750	Rattus norvegicus	Metazoa	249			Negative	3	False
P85845	Rattus norvegicus	Metazoa	493			Negative	4	False
P53112	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	341			Negative	4	False
Q9NPG8	Homo sapiens	Metazoa	344			Negative	1	True
Q9VBW9	Drosophila melanogaster	Metazoa	419			Negative	4	False
Q5SWZ9	Mus musculus	Metazoa	221			Negative	1	True
Q8N1G1	Homo sapiens	Metazoa	1221			Negative	2	False
Q04305	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	513			Negative	2	False
O15743	Dictyostelium discoideum	Other	975			Negative	5	False
O60127	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	126			Negative	4	False
Q9EPL8	Mus musculus	Metazoa	1038			Negative	1	False
Q9LMT2	Arabidopsis thaliana	Viridiplantae	713			Negative	3	False
P31358	Homo sapiens	Metazoa	61	1.0	24.0	Positive	3	
Q9NSG2	Homo sapiens	Metazoa	853			Negative	3	False
Q8LBP4	Arabidopsis thaliana	Viridiplantae	462			Negative	2	False
Q06598	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	404			Negative	1	True
P40026	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	464			Negative	3	False
O60284	Homo sapiens	Metazoa	1047			Negative	1	False
Q42843	Hordeum vulgare	Viridiplantae	527			Negative	4	False
Q06149	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	701			Negative	2	False
Q9LLC6	Chlamydomonas reinhardtii	Viridiplantae	198			Negative	3	False
Q9V496	Drosophila melanogaster	Metazoa	3351	1.0	25.0	Positive	2	
P42698	Arabidopsis thaliana	Viridiplantae	387			Negative	2	False
A0A161CFW5	Trypanosoma brucei brucei	Other	305			Negative	2	False
Q9Y7U7	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	878			Negative	4	False
Q7SA60	Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987)	Fungi	228			Negative	1	False
Q8L493	Arabidopsis thaliana	Viridiplantae	373			Negative	2	False
P28074	Homo sapiens	Metazoa	263			Negative	2	False
P60896	Homo sapiens	Metazoa	70			Negative	4	False
Q8K5A9	Rattus norvegicus	Metazoa	228			Negative	1	False
Q24JJ9	Arabidopsis thaliana	Viridiplantae	361			Negative	4	False
Q1K528	Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987)	Fungi	82			Negative	1	True
Q12383	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	476			Negative	3	False
O22773	Arabidopsis thaliana	Viridiplantae	216			Negative	5	False
Q02080	Homo sapiens	Metazoa	365			Negative	3	False
Q9ESV1	Rattus norvegicus	Metazoa	1051			Negative	5	False
P38637	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	319			Negative	4	False
Q93YN0	Arabidopsis thaliana	Viridiplantae	187			Negative	3	False
Q9CZX7	Mus musculus	Metazoa	257			Negative	2	False
P90838	Caenorhabditis elegans	Metazoa	505			Negative	4	False
Q969F1	Homo sapiens	Metazoa	213			Negative	4	False
Q8K1N1	Mus musculus	Metazoa	776			Negative	1	False
