EntryID	OrganismName	Kingdom	SequenceLength	SPStart	SPEnd	Class
Q18268	Caenorhabditis elegans	Metazoa	159	None	None	Negative
P54644	Dictyostelium discoideum	Other	444	None	None	Negative
Q9W2H9	Drosophila melanogaster	Metazoa	541	None	None	Negative
Q9VUN3	Drosophila melanogaster	Metazoa	217	None	None	Negative
Q5H873	Lupinus albus	Viridiplantae	453	None	None	Negative
Q8WWL2	Homo sapiens	Metazoa	714	None	None	Negative
Q9CQ56	Mus musculus	Metazoa	270	None	None	Negative
Q8BGI5	Mus musculus	Metazoa	305	None	None	Negative
P49588	Homo sapiens	Metazoa	968	None	None	Negative
Q41811	Zea mays	Viridiplantae	103	None	None	Negative
O95873	Homo sapiens	Metazoa	294	None	None	Negative
P54385	Drosophila melanogaster	Metazoa	562	None	None	Negative
Q9NDH7	Caenorhabditis elegans	Metazoa	669	None	None	Negative
P68280	Canis lupus familiaris	Metazoa	173	None	None	Negative
Q9FLT0	Arabidopsis thaliana	Viridiplantae	985	None	None	Negative
Q96P69	Homo sapiens	Metazoa	363	None	None	Negative
Q5JY77	Homo sapiens	Metazoa	1395	None	None	Negative
Q13555	Homo sapiens	Metazoa	558	None	None	Negative
Q8GYE8	Arabidopsis thaliana	Viridiplantae	567	None	None	Negative
B3EWR7	Ophisurus serpens	Metazoa	142	None	None	Negative
P02381	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	398	None	None	Negative
Q8L5Z4	Arabidopsis thaliana	Viridiplantae	584	None	None	Negative
A0A1S4BDC4	Nicotiana tabacum	Viridiplantae	790	None	None	Negative
Q9USL5	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	390	None	None	Negative
P80455	Drosophila melanogaster	Metazoa	139	None	None	Negative
P05455	Homo sapiens	Metazoa	408	None	None	Negative
Q2KN99	Rattus norvegicus	Metazoa	1118	None	None	Negative
Q63755	Rattus norvegicus	Metazoa	1706	None	None	Negative
Q9FPM6	Solanum lycopersicum	Viridiplantae	478	None	None	Negative
Q9NZL9	Homo sapiens	Metazoa	334	None	None	Negative
Q9I9N6	Danio rerio	Metazoa	203	None	None	Negative
O88878	Mus musculus	Metazoa	213	None	None	Negative
Q8SXQ7	Drosophila melanogaster	Metazoa	369	None	None	Negative
Q6RX08	Oryctolagus cuniculus	Metazoa	842	None	None	Negative
Q568D5	Danio rerio	Metazoa	386	None	None	Negative
Q99697	Homo sapiens	Metazoa	317	None	None	Negative
O45784	Caenorhabditis elegans	Metazoa	183	None	None	Negative
Q9SII8	Arabidopsis thaliana	Viridiplantae	551	None	None	Negative
P38873	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	1557	None	None	Negative
P84117	Perinereis aibuhitensis	Metazoa	51	None	None	Negative
P47758	Mus musculus	Metazoa	269	None	None	Negative
Q8BHL8	Mus musculus	Metazoa	271	None	None	Negative
P83111	Homo sapiens	Metazoa	547	None	None	Negative
Q8BVI4	Mus musculus	Metazoa	241	None	None	Negative
Q8C8B0	Mus musculus	Metazoa	326	None	None	Negative
Q9H6K4	Homo sapiens	Metazoa	179	None	None	Negative
Q9M815	Arabidopsis thaliana	Viridiplantae	190	None	None	Negative
P38842	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	239	None	None	Negative
Q8BGJ9	Mus musculus	Metazoa	220	None	None	Negative
P01462	Naja annulifera	Metazoa	60	None	None	Negative
Q9Y227	Homo sapiens	Metazoa	616	None	None	Negative
P50745	Rattus norvegicus	Metazoa	368	None	None	Negative
Q96AX2	Homo sapiens	Metazoa	223	None	None	Negative
Q7LDI9	Homo sapiens	Metazoa	666	None	None	Negative
P15532	Mus musculus	Metazoa	152	None	None	Negative
Q9FG93	Arabidopsis thaliana	Viridiplantae	624	None	None	Negative
P62304	Homo sapiens	Metazoa	92	None	None	Negative
P30115	Mus musculus	Metazoa	221	None	None	Negative
Q8C1B1	Mus musculus	Metazoa	1461	None	None	Negative
Q562R1	Homo sapiens	Metazoa	376	None	None	Negative
Q8NFZ5	Homo sapiens	Metazoa	429	None	None	Negative
P40167	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	298	None	None	Negative
Q8N6I4	Homo sapiens	Metazoa	163	None	None	Negative
Q58A45	Homo sapiens	Metazoa	887	None	None	Negative
O14772	Homo sapiens	Metazoa	607	None	None	Negative
Q6BCY4	Homo sapiens	Metazoa	276	None	None	Negative
P14635	Homo sapiens	Metazoa	433	None	None	Negative
Q05856	Drosophila melanogaster	Metazoa	199	None	None	Negative
O54699	Rattus norvegicus	Metazoa	456	None	None	Negative
Q7M767	Rattus norvegicus	Metazoa	145	None	None	Negative
P02275	Triticum aestivum	Viridiplantae	146	None	None	Negative
P40035	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	300	None	None	Negative
P82195	Spinacia oleracea	Viridiplantae	166	None	None	Negative
Q9UT68	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	335	None	None	Negative
Q4WX78	Aspergillus fumigatus (strain ATCC MYA-4609 / CBS 101355 / FGSC A1100 / Af293)	Fungi	600	None	None	Negative
O75800	Homo sapiens	Metazoa	440	None	None	Negative
Q8K3Z9	Mus musculus	Metazoa	1200	None	None	Negative
P33280	Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987)	Fungi	358	None	None	Negative
Q568P9	Danio rerio	Metazoa	402	None	None	Negative
Q5VT97	Homo sapiens	Metazoa	1194	None	None	Negative
Q02037	Rhodella violacea	Other	177	None	None	Negative
Q7KV19	Drosophila melanogaster	Metazoa	172	None	None	Negative
Q03771	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	387	None	None	Negative
P32591	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	825	None	None	Negative
P38925	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	575	None	None	Negative
P43132	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	505	None	None	Negative
O75531	Homo sapiens	Metazoa	89	None	None	Negative
P42669	Mus musculus	Metazoa	321	None	None	Negative
Q9M367	Arabidopsis thaliana	Viridiplantae	517	None	None	Negative
A2ZAB5	Oryza sativa subsp. indica	Viridiplantae	334	None	None	Negative
A0A286ZK88	Sus scrofa	Metazoa	182	None	None	Negative
Q60FC6	Pyropia yezoensis	Other	420	None	None	Negative
B2RPY5	Mus musculus	Metazoa	545	None	None	Negative
Q13535	Homo sapiens	Metazoa	2644	None	None	Negative
Q07458	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	294	None	None	Negative
P68050	Panthera leo	Metazoa	146	None	None	Negative
P27466	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	446	None	None	Negative
Q9LYW5	Arabidopsis thaliana	Viridiplantae	337	None	None	Negative
P47045	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	478	None	None	Negative
P20243	Mustela putorius furo	Metazoa	141	None	None	Negative
Q91X84	Mus musculus	Metazoa	619	None	None	Negative
Q8S895	Arabidopsis thaliana	Viridiplantae	323	None	None	Negative
P32907	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	282	None	None	Negative
Q9SN22	Arabidopsis thaliana	Viridiplantae	410	None	None	Negative
P09367	Rattus norvegicus	Metazoa	363	None	None	Negative
Q9P7K8	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	105	None	None	Negative
J9VQZ9	Cryptococcus neoformans var. grubii serotype A (strain H99 / ATCC 208821 / CBS 10515 / FGSC 9487)	Fungi	1055	None	None	Negative
Q38DX5	Trypanosoma brucei brucei (strain 927/4 GUTat10.1)	Other	363	None	None	Negative
Q94B65	Arabidopsis thaliana	Viridiplantae	323	None	None	Negative
Q9VKD6	Drosophila melanogaster	Metazoa	231	None	None	Negative
Q5BH34	Emericella nidulans (strain FGSC A4 / ATCC 38163 / CBS 112.46 / NRRL 194 / M139)	Fungi	265	None	None	Negative
R9QMW7	Pinus banksiana	Viridiplantae	621	None	None	Negative
Q9C0L9	Candida albicans (strain SC5314 / ATCC MYA-2876)	Fungi	790	None	None	Negative
Q5T753	Homo sapiens	Metazoa	118	None	None	Negative
Q92547	Homo sapiens	Metazoa	1522	None	None	Negative
P22640	Protobothrops mucrosquamatus	Metazoa	122	None	None	Negative
P17010	Homo sapiens	Metazoa	805	None	None	Negative
Q9UFB7	Homo sapiens	Metazoa	747	None	None	Negative
Q14324	Homo sapiens	Metazoa	1141	None	None	Negative
Q9LVW7	Arabidopsis thaliana	Viridiplantae	430	None	None	Negative
Q61999	Mus musculus	Metazoa	247	None	None	Negative
Q7RTS3	Homo sapiens	Metazoa	328	None	None	Negative
Q6NU25	Xenopus laevis	Metazoa	1477	None	None	Negative
Q6ZV65	Homo sapiens	Metazoa	393	None	None	Negative
O24629	Arabidopsis thaliana	Viridiplantae	502	None	None	Negative
Q84JK2	Arabidopsis thaliana	Viridiplantae	285	None	None	Negative
Q62866	Rattus norvegicus	Metazoa	512	None	None	Negative
Q53QW1	Homo sapiens	Metazoa	395	None	None	Negative
O22207	Arabidopsis thaliana	Viridiplantae	924	None	None	Negative
A8MTZ0	Homo sapiens	Metazoa	92	None	None	Negative
Q9TXH9	Caenorhabditis elegans	Metazoa	299	None	None	Negative
Q0J466	Oryza sativa subsp. japonica	Viridiplantae	249	None	None	Negative
P0DKD1	Olea europaea	Viridiplantae	134	None	None	Negative
P59941	Mus musculus	Metazoa	334	None	None	Negative
P17679	Mus musculus	Metazoa	413	None	None	Negative
Q96JG8	Homo sapiens	Metazoa	741	None	None	Negative
P0DPD6	Homo sapiens	Metazoa	811	None	None	Negative
Q9SAI2	Arabidopsis thaliana	Viridiplantae	274	None	None	Negative
P17742	Mus musculus	Metazoa	164	None	None	Negative
Q9ZW02	Arabidopsis thaliana	Viridiplantae	964	None	None	Negative
Q7XR61	Oryza sativa subsp. japonica	Viridiplantae	430	None	None	Negative
Q61880	Mus musculus	Metazoa	340	None	None	Negative
A8JQX3	Drosophila melanogaster	Metazoa	642	None	None	Negative
Q8LD27	Arabidopsis thaliana	Viridiplantae	233	None	None	Negative
A0A397HK89	Aspergillus thermomutatus	Fungi	604	None	None	Negative
E2RKN8	Canis lupus familiaris	Metazoa	79	None	None	Negative
P09610	Mesocricetus auratus	Metazoa	887	None	None	Negative
O08658	Rattus norvegicus	Metazoa	742	None	None	Negative
P15991	Cricetulus longicaudatus	Metazoa	213	None	None	Negative
O80480	Arabidopsis thaliana	Viridiplantae	538	None	None	Negative
P25293	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	417	None	None	Negative
O80831	Arabidopsis thaliana	Viridiplantae	691	None	None	Negative
P02145	Pan troglodytes	Metazoa	154	None	None	Negative
Q3V2Q8	Mus musculus	Metazoa	238	None	None	Negative
P40336	Mus musculus	Metazoa	327	None	None	Negative
Q09429	Rattus norvegicus	Metazoa	1582	None	None	Negative
Q1MTQ9	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	180	None	None	Negative
P50890	Gallus gallus	Metazoa	296	None	None	Negative
Q9NWT1	Homo sapiens	Metazoa	392	None	None	Negative
A0A1V6PB34	Penicillium decumbens	Fungi	517	None	None	Negative
M4IS88	Humulus lupulus	Viridiplantae	568	None	None	Negative
O61466	Caenorhabditis elegans	Metazoa	92	None	None	Negative
G3CCC0	Nicotiana tabacum	Viridiplantae	802	None	None	Negative
Q8NCU7	Homo sapiens	Metazoa	369	None	None	Negative
P0CG72	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	382	None	None	Negative
Q9Z2T6	Mus musculus	Metazoa	507	None	None	Negative
P02494	Eulemur fulvus fulvus	Metazoa	173	None	None	Negative
Q8GZ43	Arabidopsis thaliana	Viridiplantae	288	None	None	Negative
Q38946	Arabidopsis thaliana	Viridiplantae	411	None	None	Negative
O35345	Mus musculus	Metazoa	536	None	None	Negative
Q674X7	Homo sapiens	Metazoa	775	None	None	Negative
Q8VWH2	Oryza sativa subsp. japonica	Viridiplantae	178	None	None	Negative
Q91VN1	Mus musculus	Metazoa	368	None	None	Negative
G3X9C2	Mus musculus	Metazoa	266	None	None	Negative
Q2EMV9	Mus musculus	Metazoa	1817	None	None	Negative
P55215	Rattus norvegicus	Metazoa	452	None	None	Negative
Q0KK59	Mus musculus	Metazoa	2596	None	None	Negative
Q9Y2W6	Homo sapiens	Metazoa	561	None	None	Negative
P61962	Homo sapiens	Metazoa	342	None	None	Negative
Q969X0	Homo sapiens	Metazoa	211	None	None	Negative
P53100	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	379	None	None	Negative
Q8TCY9	Homo sapiens	Metazoa	931	None	None	Negative
P56645	Homo sapiens	Metazoa	1201	None	None	Negative
Q9CAV7	Arabidopsis thaliana	Viridiplantae	456	None	None	Negative
Q8N339	Homo sapiens	Metazoa	61	None	None	Negative
Q91VD9	Mus musculus	Metazoa	727	None	None	Negative
O35457	Mus musculus	Metazoa	360	None	None	Negative
P50586	Mus musculus	Metazoa	505	None	None	Negative
Q7KNS3	Drosophila melanogaster	Metazoa	411	None	None	Negative
P56522	Rattus norvegicus	Metazoa	494	None	None	Negative
Q8C0I1	Mus musculus	Metazoa	645	None	None	Negative
Q8C3J5	Mus musculus	Metazoa	1828	None	None	Negative
Q8BG93	Mus musculus	Metazoa	170	None	None	Negative
Q94392	Caenorhabditis elegans	Metazoa	824	None	None	Negative
Q9D7W4	Mus musculus	Metazoa	270	None	None	Negative
A0AA51Z0J6	Lophophora williamsii	Viridiplantae	386	None	None	Negative
G9M9M3	Ipomoea batatas	Viridiplantae	358	None	None	Negative
A0A1B7YCL6	Colletotrichum higginsianum (strain IMI 349063)	Fungi	401	None	None	Negative
Q2VIR3	Homo sapiens	Metazoa	472	None	None	Negative
Q9R0M6	Mus musculus	Metazoa	201	None	None	Negative
Q9NQ32	Homo sapiens	Metazoa	467	None	None	Negative
Q59RQ2	Candida albicans (strain SC5314 / ATCC MYA-2876)	Fungi	310	None	None	Negative
Q6AYN4	Rattus norvegicus	Metazoa	375	None	None	Negative
O80560	Arabidopsis thaliana	Viridiplantae	1316	None	None	Negative
Q8BVF7	Mus musculus	Metazoa	265	None	None	Negative
O15482	Homo sapiens	Metazoa	410	None	None	Negative
O74786	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	419	None	None	Negative
Q0P678	Mus musculus	Metazoa	948	None	None	Negative
P21827	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	482	None	None	Negative
Q5DTH5	Mus musculus	Metazoa	1084	None	None	Negative
P25693	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	308	None	None	Negative
Q8BR90	Mus musculus	Metazoa	294	None	None	Negative
Q7TPF1	Rattus norvegicus	Metazoa	97	None	None	Negative
Q5TJ57	Dictyostelium discoideum	Other	1561	None	None	Negative
P83211	Bolinus brandaris	Metazoa	107	None	None	Negative
Q9C895	Arabidopsis thaliana	Viridiplantae	900	None	None	Negative
Q5T5N4	Homo sapiens	Metazoa	469	None	None	Negative
Q8VE42	Mus musculus	Metazoa	238	None	None	Negative
Q8IWV7	Homo sapiens	Metazoa	1749	None	None	Negative
Q9BT78	Homo sapiens	Metazoa	406	None	None	Negative
O24362	Spinacia oleracea	Viridiplantae	249	None	None	Negative
Q8SR30	Encephalitozoon cuniculi (strain GB-M1)	Fungi	502	None	None	Negative
O54803	Mus musculus	Metazoa	389	None	None	Negative
Q9JK42	Mus musculus	Metazoa	407	None	None	Negative
O97237	Plasmodium falciparum (isolate 3D7)	Other	1139	None	None	Negative
Q6Y288	Homo sapiens	Metazoa	498	None	None	Negative
P0DKF1	Olea europaea	Viridiplantae	134	None	None	Negative
A0A2U8NEV6	Metarhizium acridum (strain CQMa 102)	Fungi	2148	None	None	Negative
Q6PEC1	Rattus norvegicus	Metazoa	108	None	None	Negative
Q12359	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	275	None	None	Negative
Q9UNU6	Homo sapiens	Metazoa	501	None	None	Negative
Q96V44	Hypocrea jecorina	Fungi	377	None	None	Negative
Q04207	Mus musculus	Metazoa	549	None	None	Negative
Q55BM1	Dictyostelium discoideum	Other	1360	None	None	Negative
Q9VJY9	Drosophila melanogaster	Metazoa	465	None	None	Negative
Q8NI38	Homo sapiens	Metazoa	313	None	None	Negative
A0A286YF58	Homo sapiens	Metazoa	385	None	None	Negative
B3RFJ6	Petunia hybrida	Viridiplantae	553	None	None	Negative
Q92539	Homo sapiens	Metazoa	896	None	None	Negative
O88609	Mus musculus	Metazoa	395	None	None	Negative
Q8R4X3	Mus musculus	Metazoa	992	None	None	Negative
Q9LS48	Arabidopsis thaliana	Viridiplantae	316	None	None	Negative
P38229	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	639	None	None	Negative
Q6P9N1	Mus musculus	Metazoa	521	None	None	Negative
Q2NL51	Mus musculus	Metazoa	490	None	None	Negative
O35963	Mus musculus	Metazoa	229	None	None	Negative
Q3UHL1	Mus musculus	Metazoa	512	None	None	Negative
A4GDR7	Olea europaea	Viridiplantae	134	None	None	Negative
Q9LEQ3	Arabidopsis thaliana	Viridiplantae	706	None	None	Negative
P11637	Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987)	Fungi	918	None	None	Negative
Q6QAT0	Sus scrofa	Metazoa	135	None	None	Negative
W6JQK2	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	268	None	None	Negative
Q9FYS5	Zea mays	Viridiplantae	193	None	None	Negative
C4M4P4	Entamoeba histolytica (strain ATCC 30459 / HM-1:IMSS / ABRM)	Other	148	None	None	Negative
O42479	Gallus gallus	Metazoa	402	None	None	Negative
P10687	Rattus norvegicus	Metazoa	1216	None	None	Negative
O17389	Caenorhabditis elegans	Metazoa	151	None	None	Negative
Q5U2M6	Rattus norvegicus	Metazoa	591	None	None	Negative
Q94JY4	Arabidopsis thaliana	Viridiplantae	85	None	None	Negative
Q18053	Caenorhabditis elegans	Metazoa	210	None	None	Negative
Q92747	Homo sapiens	Metazoa	370	None	None	Negative
A4QMS7	Homo sapiens	Metazoa	147	None	None	Negative
P0C5I2	Sus scrofa	Metazoa	360	None	None	Negative
Q9UG22	Homo sapiens	Metazoa	337	None	None	Negative
P49735	Drosophila melanogaster	Metazoa	887	None	None	Negative
Q2UPA9	Aspergillus oryzae (strain ATCC 42149 / RIB 40)	Fungi	1625	None	None	Negative
O82357	Arabidopsis thaliana	Viridiplantae	347	None	None	Negative
F4KCC2	Arabidopsis thaliana	Viridiplantae	2006	None	None	Negative
P27066	Glycine max	Viridiplantae	475	None	None	Negative
P02993	Artemia salina	Metazoa	462	None	None	Negative
P03891	Homo sapiens	Metazoa	347	None	None	Negative
Q8I0P1	Drosophila melanogaster	Metazoa	758	None	None	Negative
P84244	Mus musculus	Metazoa	136	None	None	Negative
O15973	Mizuhopecten yessoensis	Metazoa	499	None	None	Negative
Q61937	Mus musculus	Metazoa	292	None	None	Negative
A0A162J448	Monascus ruber	Fungi	501	None	None	Negative
P0C239	Artedidraco orianae	Metazoa	146	None	None	Negative
O75123	Homo sapiens	Metazoa	536	None	None	Negative
Q9M2Z2	Arabidopsis thaliana	Viridiplantae	317	None	None	Negative
Q93096	Homo sapiens	Metazoa	173	None	None	Negative
Q80YS6	Mus musculus	Metazoa	731	None	None	Negative
G3JUI6	Cordyceps militaris (strain CM01)	Fungi	526	None	None	Negative
Q8R5F7	Mus musculus	Metazoa	1025	None	None	Negative
Q56XU4	Arabidopsis thaliana	Viridiplantae	413	None	None	Negative
O15239	Homo sapiens	Metazoa	70	None	None	Negative
P53200	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	248	None	None	Negative
Q07666	Homo sapiens	Metazoa	443	None	None	Negative
Q9H9B1	Homo sapiens	Metazoa	1298	None	None	Negative
P40512	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	444	None	None	Negative
Q9JM47	Rattus norvegicus	Metazoa	256	None	None	Negative
Q24210	Drosophila melanogaster	Metazoa	898	None	None	Negative
Q8WZ64	Homo sapiens	Metazoa	1704	None	None	Negative
P68991	Chimaera monstrosa	Metazoa	59	None	None	Negative
P62805	Homo sapiens	Metazoa	103	None	None	Negative
P11766	Homo sapiens	Metazoa	374	None	None	Negative
P79348	Bos taurus	Metazoa	374	None	None	Negative
P19099	Homo sapiens	Metazoa	503	None	None	Negative
Q8N6T0	Homo sapiens	Metazoa	511	None	None	Negative
Q9JJL8	Mus musculus	Metazoa	518	None	None	Negative
P48507	Homo sapiens	Metazoa	274	None	None	Negative
Q96FX7	Homo sapiens	Metazoa	289	None	None	Negative
Q96MH2	Homo sapiens	Metazoa	286	None	None	Negative
Q640M6	Mus musculus	Metazoa	607	None	None	Negative
A1ZAW5	Drosophila melanogaster	Metazoa	215	None	None	Negative
Q9JJ79	Rattus norvegicus	Metazoa	4306	None	None	Negative
Q61578	Mus musculus	Metazoa	494	None	None	Negative
A0A0C5DM37	Catharanthus roseus	Viridiplantae	376	None	None	Negative
Q9NZI6	Homo sapiens	Metazoa	479	None	None	Negative
A6NEQ0	Homo sapiens	Metazoa	496	None	None	Negative
D3YV92	Mus musculus	Metazoa	440	None	None	Negative
P40994	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	183	None	None	Negative
A0A0C1BWC7	Aspergillus ustus	Fungi	470	None	None	Negative
P35817	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	686	None	None	Negative
Q8WUU5	Homo sapiens	Metazoa	269	None	None	Negative
Q9H2S6	Homo sapiens	Metazoa	317	None	None	Negative
Q5XHZ0	Rattus norvegicus	Metazoa	706	None	None	Negative
Q41771	Zea mays	Viridiplantae	824	None	None	Negative
Q9WTZ0	Mus musculus	Metazoa	157	None	None	Negative
P11758	Myotis velifer	Metazoa	146	None	None	Negative
P55771	Homo sapiens	Metazoa	341	None	None	Negative
P84791	Aythya fuligula	Metazoa	141	None	None	Negative
Q63085	Rattus norvegicus	Metazoa	1108	None	None	Negative
Q02204	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	264	None	None	Negative
B3EWH9	Hemachatus haemachatus	Metazoa	61	None	None	Negative
Q6DHH7	Danio rerio	Metazoa	190	None	None	Negative
Q7TNL3	Mus musculus	Metazoa	435	None	None	Negative
Q4WFF8	Aspergillus fumigatus (strain ATCC MYA-4609 / CBS 101355 / FGSC A1100 / Af293)	Fungi	142	None	None	Negative
S5DWK8	Ocimum basilicum	Viridiplantae	359	None	None	Negative
Q8SQ19	Bos taurus	Metazoa	368	None	None	Negative
O65517	Arabidopsis thaliana	Viridiplantae	322	None	None	Negative
P36517	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	319	None	None	Negative
O80996	Arabidopsis thaliana	Viridiplantae	479	None	None	Negative
P40094	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	801	None	None	Negative
P58317	Homo sapiens	Metazoa	390	None	None	Negative
P02015	Ambystoma mexicanum	Metazoa	143	None	None	Negative
A0A2K1J5A5	Physcomitrium patens	Viridiplantae	709	None	None	Negative
P04256	Rattus norvegicus	Metazoa	320	None	None	Negative
F4IHY7	Arabidopsis thaliana	Viridiplantae	527	None	None	Negative
Q53GA4	Homo sapiens	Metazoa	152	None	None	Negative
Q0P4B9	Danio rerio	Metazoa	97	None	None	Negative
Q8K4Z2	Mus musculus	Metazoa	240	None	None	Negative
P21291	Homo sapiens	Metazoa	193	None	None	Negative
P26289	Arabidopsis thaliana	Viridiplantae	101	None	None	Negative
A7E2V4	Homo sapiens	Metazoa	1837	None	None	Negative
Q9V407	Drosophila melanogaster	Metazoa	745	None	None	Negative
P19392	Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987)	Fungi	293	None	None	Negative
P00949	Oryctolagus cuniculus	Metazoa	562	None	None	Negative
P81371	Vatairea macrocarpa	Viridiplantae	240	None	None	Negative
P04346	Bos javanicus	Metazoa	145	None	None	Negative
P46032	Arabidopsis thaliana	Viridiplantae	585	None	None	Negative
Q9LPR4	Arabidopsis thaliana	Viridiplantae	631	None	None	Negative
Q8K3E5	Mus musculus	Metazoa	1047	None	None	Negative
Q9QZI9	Mus musculus	Metazoa	472	None	None	Negative
Q54QT8	Dictyostelium discoideum	Other	169	None	None	Negative
Q39228	Arabidopsis thaliana	Viridiplantae	514	None	None	Negative
Q5A1E3	Candida albicans (strain SC5314 / ATCC MYA-2876)	Fungi	251	None	None	Negative
P91027	Caenorhabditis elegans	Metazoa	338	None	None	Negative
P35466	Bos taurus	Metazoa	101	None	None	Negative
Q7TN75	Mus musculus	Metazoa	958	None	None	Negative
Q6PIF6	Homo sapiens	Metazoa	2116	None	None	Negative
Q9D338	Mus musculus	Metazoa	292	None	None	Negative
Q9Y4D8	Homo sapiens	Metazoa	3996	None	None	Negative
P15114	Candida glabrata (strain ATCC 2001 / BCRC 20586 / JCM 3761 / NBRC 0622 / NRRL Y-65 / CBS 138)	Fungi	52	None	None	Negative
Q9R0Y1	Mus musculus	Metazoa	495	None	None	Negative
Q9PSN0	Bitis arietans	Metazoa	135	None	None	Negative
Q8NFG4	Homo sapiens	Metazoa	579	None	None	Negative
Q9Z0Y9	Mus musculus	Metazoa	445	None	None	Negative
Q96K30	Homo sapiens	Metazoa	269	None	None	Negative
Q9UHF7	Homo sapiens	Metazoa	1281	None	None	Negative
P85140	Bungarus candidus	Metazoa	73	None	None	Negative
G0SGU4	Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719)	Fungi	370	None	None	Negative
O65657	Arabidopsis thaliana	Viridiplantae	158	None	None	Negative
Q42404	Arabidopsis thaliana	Viridiplantae	427	None	None	Negative
O55033	Mus musculus	Metazoa	380	None	None	Negative
Q9LL84	Arabidopsis thaliana	Viridiplantae	1219	None	None	Negative
Q8N9F7	Homo sapiens	Metazoa	314	None	None	Negative
Q9DC61	Mus musculus	Metazoa	524	None	None	Negative
Q05648	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	414	None	None	Negative
P38966	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	869	None	None	Negative
O00167	Homo sapiens	Metazoa	538	None	None	Negative
Q8WTR2	Homo sapiens	Metazoa	217	None	None	Negative
Q8JHV9	Xenopus laevis	Metazoa	401	None	None	Negative
O95232	Homo sapiens	Metazoa	432	None	None	Negative
O75575	Homo sapiens	Metazoa	148	None	None	Negative
G5EE86	Caenorhabditis elegans	Metazoa	409	None	None	Negative
Q95VZ3	Dictyostelium discoideum	Other	1050	None	None	Negative
P04041	Rattus norvegicus	Metazoa	201	None	None	Negative
Q59U10	Candida albicans (strain SC5314 / ATCC MYA-2876)	Fungi	740	None	None	Negative
C6TAY1	Glycine max	Viridiplantae	358	None	None	Negative
P47924	Arabidopsis thaliana	Viridiplantae	543	None	None	Negative
Q61462	Mus musculus	Metazoa	192	None	None	Negative
Q8TCD1	Homo sapiens	Metazoa	76	None	None	Negative
D3Z5L6	Mus musculus	Metazoa	459	None	None	Negative
Q6ZMV8	Homo sapiens	Metazoa	503	None	None	Negative
Q5W0Q7	Homo sapiens	Metazoa	1092	None	None	Negative
P56707	Astragalus bisulcatus	Viridiplantae	338	None	None	Negative
Q9Y6M7	Homo sapiens	Metazoa	1214	None	None	Negative
A1A5C7	Homo sapiens	Metazoa	686	None	None	Negative
Q9CZV5	Mus musculus	Metazoa	412	None	None	Negative
Q2R482	Oryza sativa subsp. japonica	Viridiplantae	961	None	None	Negative
Q9R0G7	Mus musculus	Metazoa	1215	None	None	Negative
